회사이름,채용정보,채용조건,Job Sector
주식회사 하이엔드코리아관심기업 등록,[LG이노텍] 대기업계약직 사원/스마트폰부품/기숙사/통근차스크랩,대구전체 외경력무관 · 계약직학력무관,"임베디드, 기계조작원, 단순생산직, 생산관리, QA"
해커스교육그룹관심기업 등록챔프스터디그룹,2024년 해커스 교육그룹 [신입/경력] 각 부문별 채용공고스크랩,서울 서초구 외신입 · 경력 · 정규직 외학력무관,"백엔드/서버개발, 앱개발, 웹개발, 웹마스터, 유지보수"
키엔스코리아(주)관심기업 등록외국계,2024년 신입사원 채용 (기술엔지니어)스크랩,경기 성남시 분당구 외신입 · 정규직대학교(4년)↑,"C#, C++, 기계조작원, 공정엔지니어, 기술엔지니어"
수협은행관심기업 등록대기업,신입행원 채용공고스크랩,대구전체 외신입 · 정규직학력무관,"데이터분석가, 보안컨설팅, 정보보안, IT컨설팅, 인프라"
(재)만불회관심기업 등록,"경리,행정,전산,편집디자인,영상,유튜브,만불신문편집,만불출판편집,TM사원,운전기사 직원채용스크랩",대구 동구 외신입 · 경력 · 정규직 외학력무관,"유지보수, ERP, Windows, MySQL, OracleDB"
주식회사 리만코리아관심기업 등록,(주)리만코리아 경력직 채용 (서울/대구)스크랩,대구전체 외경력 · 정규직 외학력무관,"데이터분석가, 백엔드/서버개발, 보안컨설팅, 정보보안, 프론트엔드"
대구경북과학기술원부설한국뇌연구원관심기업 등록공사·공기업,[실증지원사업단] 제2차 사업단 직원(계약직) 채용_기술직스크랩,대구 동구경력 5년↑ · 계약직대학교(4년)↑,"데이터분석가, 데이터엔지니어, 앱개발, 웹개발, 정보보안"
대구경북과학기술원부설한국뇌연구원관심기업 등록공사·공기업,[실증지원사업단] 제2차 사업단 직원(계약직) 채용_연구직스크랩,대구 동구신입 · 경력 · 계약직대학교(4년)↑,"데이터분석가, 앱개발, 웹개발, 빅데이터, AI(인공지능)"
(주)인포셋관심기업 등록,[ICT/WEB] UI/UX 디자인&퍼블리셔 경력 채용스크랩,"대구 수성구경력 2년↑ · 정규직대학(2,3년)↑","프론트엔드, 반응형웹, 웹표준·웹접근성, 크로스브라우징, CSS3"
교세라도큐먼트솔루션스코리아(주)관심기업 등록외국계,서비스 직원 채용 [ 경북지점 ]스크랩,"대구 북구신입 · 경력 · 정규직대학(2,3년)↑","유지보수, A/S기사, 기계수리, 네트워크"
(주)디알테크아이앤씨관심기업 등록,POS 유지보수 고객지원부(대구지사) 사원 모집스크랩,대구 서구경력무관 · 정규직고졸↑,"유지보수, H/W, 정비기사, A/S기사"
수성입찰관심기업 등록,[대구] 수성입찰 분석팀 정규직 채용공고스크랩,대구 수성구경력무관 · 정규직고졸↑,"데이터분석가, 백엔드/서버개발, 보안컨설팅, 앱개발, IT컨설팅"
(주)이로컨설팅관심기업 등록,대구 반야월역  (주)이로컨설팅 분석팀 정규직 채용공고스크랩,대구 동구경력무관 · 정규직고졸↑,"데이터분석가, 고객안내, 고객응대, 인플루언서마케팅, 체험마케팅"
스마트입찰관심기업 등록,[두류역] 스마트입찰 분석팀 정규직 채용공고스크랩,대구 서구경력무관 · 정규직고졸↑,"데이터분석가, 백엔드/서버개발, 앱개발, 웹개발, IT컨설팅"
정보와기술(주)관심기업 등록정보와기술그룹,"대구지방법원 (안동지원, 경주지원) - 법원 전산장비 유지보수스크랩",대구 수성구경력 1년↑ · 계약직고졸↑,"유지보수, H/W, S/W"
발레오모빌리티코리아(주)관심기업 등록외국계,IS manager 경력 모집스크랩,대구전체 외5 ~ 10년 · 정규직대학교(4년)↑,"기술지원, 보안컨설팅, 정보보안, CISO, R"
㈜설텍관심기업 등록,기술연구소 전기.전자 하드웨어 설계 경력 및 신입사원 모집.스크랩,대구 달서구경력무관 · 정규직대학교(4년)↑,"임베디드, H/W, IoT, MCU, S/W"
티에스관심기업 등록,KT유선전문점) 전산 사무 직원 구합니다. (판매X영업X )스크랩,대구 달서구경력무관 · 정규직학력무관,정보통신
예반관심기업 등록,2024년 함께할 감각있고 센스있는 웹디자이너를 찾고 있습니다.스크랩,대구 서구경력무관 · 정규직고졸↑,"웹마스터, 사이트관리, 온라인MD, 상품관리, 쇼핑몰"
(주)아이디정보시스템관심기업 등록,[대구] 솔루션영업(기술지원팀) 신입사원 모집공고스크랩,대구 수성구신입 · 경력 · 정규직학력무관,"기술지원, 유지보수, H/W, 솔루션기술영업, S/W"
(주)아이디정보시스템관심기업 등록,[대구] 솔루션영업(영업팀) 팀장급 모집공고스크랩,대구 수성구경력 5년↑ · 정규직학력무관,"기술지원, 유지보수, H/W, 솔루션기술영업, S/W"
소프트웨어재난연구센터관심기업 등록,소프트웨어재난연구센터 연구원 채용공고스크랩,대구 북구경력무관 · 계약직대학교(4년)↑,"S/W, C++, Java, 기술연구, 대학원"
(주)플레이파크관심기업 등록,[대구]회사와 함께 성장할 유니티 개발자 모십니다.스크랩,대구 북구경력(년수무관) · 정규직 외학력무관,"게임개발, 앱개발, AR(증강현실), S/W, VR(가상현실)"
